#{"t_start": 1620663403.6765835, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
27.0,30,554.302749
27.0,30,554.579573
27.0,30,554.859901
27.0,30,555.134175
27.0,30,555.409008
27.0,30,555.682281
27.0,30,555.964553
27.0,30,556.247801
27.0,30,556.528024
27.0,30,556.804382
27.0,30,557.081653
27.0,30,557.354923
27.0,30,557.630429
27.0,30,557.905789
27.0,30,558.179098
27.0,30,558.454057
27.0,30,558.732913
27.0,30,559.011152
27.0,30,559.288411
27.0,30,559.566673
27.0,30,559.844965
27.0,30,560.125253
27.0,30,560.403509
27.0,30,560.678802
27.0,30,560.958055
27.0,30,561.235365
27.0,30,561.514771
27.0,30,561.793024
27.0,30,562.071333
27.0,30,562.348589
27.0,30,562.628841
27.0,30,562.906096
27.0,30,563.183366
27.0,30,563.461629
27.0,30,563.739935
27.0,30,564.015228
27.0,30,564.294511
27.0,30,564.569776
27.0,30,564.844041
27.0,30,565.118309
27.0,30,565.397561
27.0,30,565.676281
27.0,30,565.954556
27.0,30,566.231909
27.0,30,566.509249
27.0,30,566.785074
27.0,30,567.063332
27.0,30,567.340589
27.0,30,567.616018
27.0,30,567.894346
27.0,30,568.172624
27.0,30,568.451984
27.0,30,568.730245
27.0,30,569.008507
27.0,30,569.285796
27.0,30,569.559065
70.0,246,571.844099
25.0,28,572.103405
26.0,29,572.378669
32.0,36,572.704901
27.0,30,572.984191
27.0,30,573.263487
27.0,30,573.53782
87.0,226,575.634517
25.0,28,575.899374
27.0,30,576.175643
27.0,30,576.449941
27.0,30,576.725176
27.0,30,576.99947
27.0,30,577.272745
27.0,30,577.546044
27.0,30,577.823307
27.0,30,578.104556
27.0,30,578.380826
124.0,264,580.843262
65.0,69,581.48654
30.0,33,581.783914
27.0,30,582.060219
27.0,30,582.33648
135.0,265,584.802477
142.0,158,586.275202
27.0,30,586.553991
118.0,207,588.481959
76.0,83,589.255626
75.0,109,590.258522
113.0,157,591.733215
27.0,30,592.016476
80.0,92,592.887963
68.0,73,593.570649
152.0,381,597.171934
148.0,160,598.690061
153.0,250,601.066241
85.0,193,602.894733
27.0,30,603.183959
114.0,173,604.831833
27.0,30,605.113686
30.0,33,605.426882
27.0,30,605.707189
27.0,30,605.986044
27.0,30,606.265333
27.0,30,606.541596
75.0,93,607.40631
27.0,30,607.698089
27.0,30,607.9933
27.0,30,608.290533
92.0,206,610.260767
27.0,30,610.560052
67.0,77,611.307933
68.0,81,612.081045
58.0,61,612.65554
73.0,93,613.526895
176.0,547,618.841028
137.0,398,622.699795
93.0,219,624.842605
86.0,149,626.301182
164.0,411,630.284461
97.0,2005,649.480777
111.0,408,653.334305
125.0,399,657.045442
27.0,30,657.322518
33.0,36,657.663648
31.0,34,657.970829
156.0,179,659.662331
116.0,193,661.461109
191.0,222,663.538792
25.0,28,663.802171
77.0,96,664.690859
27.0,30,664.969105
144.0,199,666.825365
122.0,219,668.889547
67.0,71,669.548354
